"filename", "language", "PHP", "CSS", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"/opt/lampp/htdocs/Hungry1/notify.php", "PHP", 24, 0, 0, 0, 0, 2, 4, 30
"/opt/lampp/htdocs/Hungry1/order.php", "PHP", 98, 0, 0, 0, 0, 9, 10, 117
"/opt/lampp/htdocs/Hungry1/required.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 12
"/opt/lampp/htdocs/Hungry1/searchfood.php", "PHP", 137, 0, 0, 0, 0, 13, 15, 165
"/opt/lampp/htdocs/Hungry1/sell.php", "PHP", 247, 0, 0, 0, 0, 17, 29, 293
"/opt/lampp/htdocs/Hungry1/signin.css", "CSS", 0, 42, 0, 0, 0, 0, 3, 45
"/opt/lampp/htdocs/Hungry1/signup.php", "PHP", 50, 0, 0, 0, 0, 0, 7, 57
"/opt/lampp/htdocs/Hungry1/sin.php", "PHP", 91, 0, 0, 0, 0, 0, 6, 97
"/opt/lampp/htdocs/Hungry1/user-add-0.php", "PHP", 91, 0, 0, 0, 0, 9, 2, 102
"/opt/lampp/htdocs/Hungry1/user-cart.php", "PHP", 201, 0, 0, 0, 0, 14, 17, 232
"/opt/lampp/htdocs/Hungry1/view.php", "PHP", 207, 0, 0, 0, 0, 11, 23, 241
"/opt/lampp/htdocs/Hungry1/view1.php", "PHP", 11, 0, 0, 0, 0, 0, 1, 12
"Total", "-", 3530, 84, 438, 20648, 44, 255, 620, 25619
